Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,
NonFulfilmentJustification,Non-Fulfilment Justification,Justification for not fulfilling a process or requirement or obligation,dpv:Justification,sc,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
LegalClaimDefenceImpaired,Legal Claim Defence Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the defence of legal claims,justifications:LegalClaimImpaired,dpv:Justification,,,,,,2024-04-21,2024-12-17,modified,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ThirdPartyRightsImpaired,Third Party Rights Impaired,Justification that the process could not be fulfilled or was not successful because it would affect the rights and freedoms of others,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
LegitimateInterestOverride,Legitimate Interest Override,Justification that the process could not be fulfilled or was not successful because the legitimate interest of the controller overrides the interests or rights of the data subject,justifications:NonFulfilmentJustification,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ContractPerformanceNecessity,Contract Performance Necessity,Justification that the process could not be fulfilled or was not successful because it is necessary for the performance of a contract,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ContractEstablishmentNecessity,Contract Establishment Necessity,Justification that the process could not be fulfilled or was not successful because it is necessary for entering into a contract,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ConsentProvided,Consent Provided,Justification that the process could not be fulfilled or was not successful because it is based on (a previously given) consent,justifications:NonFulfilmentJustification,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
SecurityImpaired,Security Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with tasks required for maintaining security,justifications:NonFulfilmentJustification,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
NationalSecurityImpaired,National Security Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with necessary tasks to safeguard national security,"justifications:SecurityImpaired,justifications:LegalProcessImpaired",dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
DefenceImpaired,Defence Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with necessary tasks to safeguard defence,"justifications:SecurityImpaired,justifications:LegalProcessImpaired",dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
PublicSecurityImpaired,Public Security Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with necessary tasks to safeguard public security,"justifications:SecurityImpaired,justifications:LegalProcessImpaired",dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
CrimePreventionImpaired,Crime Prevention Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the prevention of criminal offences,"justifications:SecurityImpaired,justifications:LegalProcessImpaired",dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
CrimeInvestigationImpaired,Crime Investigation Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the investigation of criminal offences,"justifications:SecurityImpaired,justifications:LegalProcessImpaired",dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
CrimeDetectionImpaired,Crime Detection Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the detection of criminal offences,"justifications:SecurityImpaired,justifications:LegalProcessImpaired",dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
CrimeProsecutionImpaired,Crime Prosecution Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the prosecution of criminal offences,"justifications:SecurityImpaired,justifications:LegalProcessImpaired",dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
CrimePenaltyExecutionImpaired,Crime Penalty Execution Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the execution of criminal penalties,"justifications:SecurityImpaired,justifications:LegalProcessImpaired",dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
JudicialProceedingsImpaired,Judicial Proceedings Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the protection of judicial independence and proceedings,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
EthicsProcedureImpaired,Ethics Procedure Impaired,Justification that the process could not be fulfilled or was not successful because it would compromise ethics or ethics procedures,justifications:NonFulfilmentJustification,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
EthicsBreachPreventionImpaired,Ethics Breach Prevention Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the prevention of breaches of ethics for regulated professions,justifications:EthicsProcedureImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
EthicsBreachInvestigationImpaired,Ethics Breach Investigation Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the investigation of breaches of ethics for regulated professions,justifications:EthicsProcedureImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
EthicsBreachDetectionImpaired,Ethics Breach Detection Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the detection of breaches of ethics for regulated professions,justifications:EthicsProcedureImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
EthicsBreachProsecutionImpaired,Ethics Breach Prosecution Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the prosecution of breaches of ethics for regulated professions,justifications:EthicsProcedureImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
DataSubjectProtectionImpaired,Data Subject Protection Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the protection of the data subject,"justifications:SecurityImpaired,justifications:LegalProcessImpaired",dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
CivilLawEnforcementImpaired,Civil Law Enforcement Impaired,"Justification that the process could not be fulfilled or was not successful because it would interfere with the enforcement of civil laws, including civil claims",justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
LackOfIntent,Lack of Intent,Justification that the process could not be fulfilled as the requestor or initiator did not have a sufficient intent to complete it,justifications:NonFulfilmentJustification,dpv:Justification,,,,An example of such intent is where the individual makes a request but then offers to withdraw it in return for some form of benefit from the organisation - see https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/right-of-access/when-can-we-refuse-to-comply-with-a-request/#refuse2,,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
LegalObligationImpaired,Required for Legal Obligation,Justification that the process could not be fulfilled as it would impair or conflict with a legal obligation,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
